"symbol"	"prevSymbols"	"synonyms"	"name"	"refSeqName"
"48"	"TTL"	""	"MGC46235"	"tubulin tyrosine ligase"	"TTL"
"49"	"AHI1"	""	"FLJ20069,ORF1,JBTS3"	"Abelson helper integration site 1"	"AHI1"
"50"	"TAP1"	"ABCB2"	"PSF1,RING4,D6S114E"	"transporter 1, ATP binding cassette subfamily B member"	"TAP1"
"51"	"VGF"	""	"SCG7,SGVII"	"VGF nerve growth factor inducible"	"VGF"
"52"	"SDC4"	""	"SYND4,AMPHIGLYCAN,RYUDOCAN"	"syndecan 4"	"SDC4"
"53"	"FMNL3"	""	"DKFZP762B245,MGC45819,WBP3"	"formin like 3"	"FMNL3"
"54"	"CRYAA"	"CRYA1"	"HSPB4"	"crystallin alpha A"	"CRYAA"
"55"	"MAP3K8"	"COT,ESTF"	"TPL-2,EST,C-COT,MEKK8"	"mitogen-activated protein kinase kinase kinase 8"	"MAP3K8"
"56"	"CXCL2"	"GRO2"	"SCYB2,GROB,MIP-2A,MGSA-B,CINC-2A"	"C-X-C motif chemokine ligand 2"	"CXCL2"
"57"	"MDK"	"NEGF2"	"MK,FLJ27379"	"midkine"	"MDK"
"58"	"MIR222"	"MIRN222"	"HSA-MIR-222"	"microRNA 222"	"MIR222"
"59"	"JAK1"	"JAK1B"	"JAK1A,JTK3"	"Janus kinase 1"	"JAK1"
"60"	"HBP1"	""	""	"HMG-box transcription factor 1"	"HBP1"
"61"	"HHEX"	"PRHX"	"HEX,HOX11L-PEN"	"hematopoietically expressed homeobox"	"HHEX"
"62"	"CDKN2D"	""	"INK4D,P19"	"cyclin dependent kinase inhibitor 2D"	"CDKN2D"
"63"	"SPP1"	"BNSP,OPN"	"BSPI,ETA-1"	"secreted phosphoprotein 1"	"SPP1"
"64"	"SIRT1"	""	"SIR2L1"	"sirtuin 1"	"SIRT1"
"65"	"MPL"	""	"CD110,TPOR"	"MPL proto-oncogene, thrombopoietin receptor"	"MPL"
"66"	"RARA"	""	"RAR,NR1B1"	"retinoic acid receptor alpha"	"RARA"
"67"	"CDK2AP1"	""	"DORC1,DOC-1,DOC1,ST19,P12DOC-1"	"cyclin dependent kinase 2 associated protein 1"	"CDK2AP1"
"68"	"NAA10"	"ARD1,ARD1A"	"DXS707,TE2"	"N(alpha)-acetyltransferase 10, NatA catalytic subunit"	"NAA10"
"69"	"ZNF281"	""	"ZBP-99"	"zinc finger protein 281"	"ZNF281"
"70"	"BCR"	"D22S11,BCR1"	"D22S662,CML,PHL,ALL"	"BCR, RhoGEF and GTPase activating protein"	"BCR"
"71"	"TYRO3"	"RSE"	"DTK,BRT,TIF,SKY,ETK-2,REK"	"TYRO3 protein tyrosine kinase"	"TYRO3"
"72"	"UBL3"	"PNSC1"	"HCG-1,DKFZP434K151,FLJ32018"	"ubiquitin like 3"	"UBL3"
"73"	"ELOVL5"	"SCA38"	"HELO1,DJ483K16.1"	"ELOVL fatty acid elongase 5"	"ELOVL5"
"74"	"GPER1"	"CMKRL2,GPR30,GPER"	"FEG-1,GPCR-BR,LERGU,LERGU2,DRY12,LYGPR,CEPR"	"G protein-coupled estrogen receptor 1"	"GPER1"
"75"	"FNBP4"	""	"KIAA1014"	"formin binding protein 4"	"FNBP4"
"76"	"EXOC4"	"SEC8L1"	"KIAA1699,MGC27170,SEC8,SEC8P"	"exocyst complex component 4"	"EXOC4"
"77"	"PDE11A"	""	""	"phosphodiesterase 11A"	"PDE11A"
"78"	"TSC1"	"TSC"	"KIAA0243,LAM,HAMARTIN"	"TSC complex subunit 1"	"TSC1"
"79"	"ANP32B"	""	"SSP29,PHAPI2,APRIL"	"acidic nuclear phosphoprotein 32 family member B"	"ANP32B"
"80"	"FOXM1"	"FKHL16"	"HFH-11,TRIDENT,HNF-3,INS-1,MPP2,MPHOSPH2,TGT3"	"forkhead box M1"	"FOXM1"
"81"	"PPFIBP1"	""	"L2,HSGT2,HSGT2P,SGT2"	"PPFIA binding protein 1"	"PPFIBP1"
"82"	"CBL"	"CBL2"	"RNF55,C-CBL"	"Cbl proto-oncogene"	"CBL"
"83"	"HGF"	"DFNB39"	"SF,F-TCF,HGFB,HPTA"	"hepatocyte growth factor"	"HGF"
"84"	"ZNF423"	""	"KIAA0760,OAZ,HOAZ,EBFAZ,ZFP104,NPHP14,JBTS19"	"zinc finger protein 423"	"ZNF423"
"85"	"PLCB1"	""	"KIAA0581,PLC-I,PLC154"	"phospholipase C beta 1"	"PLCB1"
"86"	"ABL2"	"ABLL"	"ARG"	"ABL proto-oncogene 2, non-receptor tyrosine kinase"	"ABL2"
"87"	"MEIS1"	""	""	"Meis homeobox 1"	"MEIS1"
"88"	"KIZ"	"NCRNA00153,C20ORF19,PLK1S1"	"HT013"	"kizuna centrosomal protein"	"KIZ"
"89"	"BCL2A1"	"HBPA1"	"GRS,BFL1,BCL2L5,ACC-1,ACC-2,ACC2,ACC1"	"BCL2 related protein A1"	"BCL2A1"
"90"	"CIITA"	"MHC2TA"	"C2TA,NLRA"	"class II major histocompatibility complex transactivator"	"CIITA"
"91"	"DEK"	""	"D6S231E"	"DEK proto-oncogene"	"DEK"
"92"	"OTOF"	"DFNB9"	"FER1L2,DFNB6"	"otoferlin"	"OTOF"
"93"	"SH2B2"	""	"APS"	"SH2B adaptor protein 2"	"SH2B2"
"94"	"SLC45A3"	"PCANAP6,PCANAP2,PCANAP8"	"IPCA-6,PROSTEIN,IPCA-2,IPCA-8"	"solute carrier family 45 member 3"	"SLC45A3"
"95"	"MACF1"	""	"KIAA0465,ACF7,ABP620,KIAA1251,MACF,FLJ45612,FLJ46776"	"microtubule-actin crosslinking factor 1"	"MACF1"
"96"	"ID4"	""	"BHLHB27"	"inhibitor of DNA binding 4, HLH protein"	"ID4"
"97"	"GPC5"	""	""	"glypican 5"	"GPC5"
"98"	"IRAK2"	""	""	"interleukin 1 receptor associated kinase 2"	"IRAK2"
"99"	"NUTM2B"	"FAM22B"	"BA119F19.1"	"NUT family member 2B"	"NUTM2B"
"100"	"RNF220"	"C1ORF164"	"FLJ10597"	"ring finger protein 220"	"RNF220"
"101"	"PRDM1"	"BLIMP1"	"PRDI-BF1"	"PR/SET domain 1"	"PRDM1"
"102"	"TNC"	"HXB,DFNA56"	"TN,MGC167029"	"tenascin C"	"TNC"
"103"	"TFF2"	"SML1"	""	"trefoil factor 2"	"TFF2"
"104"	"DDX43"	""	"HAGE,DKFZP434H2114,CT13"	"DEAD-box helicase 43"	"DDX43"
"105"	"REG3A"	"PAP"	"HIP,REG-III,REG3,PBCGF,PAP1"	"regenerating family member 3 alpha"	"REG3A"
"106"	"SMAD2"	"MADH2"	"MADR2,JV18-1"	"SMAD family member 2"	"SMAD2"
"107"	"SOX11"	""	""	"SRY-box 11"	"SOX11"
"108"	"PTHLH"	""	"PTHRP,HHM,PLP,PTHR"	"parathyroid hormone like hormone"	"PTHLH"
"109"	"IGFBP6"	""	""	"insulin like growth factor binding protein 6"	"IGFBP6"
"110"	"NAV1"	""	"FLJ12560,FLJ14203,KIAA1151,MGC14961,POMFIL3,STEERIN-1,DKFZP781D0314"	"neuron navigator 1"	"NAV1"
"111"	"PICK1"	"PRKCABP"	"DJ1039K5,MGC15204"	"protein interacting with PRKCA 1"	"PICK1"
"112"	"ABCB5"	""	"EST422562,ABCB5BETA,ABCB5ALPHA"	"ATP binding cassette subfamily B member 5"	"ABCB5"
"113"	"ATF7IP"	""	"FLJ10688,P621"	"activating transcription factor 7 interacting protein"	"ATF7IP"
"114"	"IER2"	""	"ETR101"	"immediate early response 2"	"IER2"
"115"	"HLTF"	"SNF2L3,SMARCA3"	"HIP116A,HLTF1,RNF80"	"helicase like transcription factor"	"HLTF"
"116"	"TGFB1"	"TGFB,DPD1"	"CED,TGFBETA"	"transforming growth factor beta 1"	"TGFB1"
"117"	"CD44"	"MIC4,MDU2,MDU3"	"IN,MC56,PGP1,CD44R,HCELL,CSPG8"	"CD44 molecule (Indian blood group)"	"CD44"
"118"	"TMSB10"	""	"TB10"	"thymosin beta 10"	"TMSB10"
"119"	"CBLC"	""	"CBL-3,CBL-SL,RNF57"	"Cbl proto-oncogene C"	"CBLC"
"120"	"FAM57A"	""	"FLJ22282,CT120"	"family with sequence similarity 57 member A"	"FAM57A"
"121"	"EGFR"	"ERBB"	"ERBB1"	"epidermal growth factor receptor"	"EGFR"
"122"	"MIR21"	"MIRN21"	"HSA-MIR-21,MIR-21"	"microRNA 21"	"MIR21"
"123"	"BCL11B"	"ZNF856B"	"CTIP-2,CTIP2,HRIT1-ALPHA"	"B cell CLL/lymphoma 11B"	"BCL11B"
"124"	"SERPINB1"	"ELANH2"	"EI,PI2,ANTI-ELASTASE"	"serpin family B member 1"	"SERPINB1"
"125"	"PVT1"	""	"NCRNA00079,LINC00079,ONCO-LNCRNA-100,MIR1204HG"	"Pvt1 oncogene (non-protein coding)"	"PVT1"
"126"	"MAF"	""	"C-MAF"	"MAF bZIP transcription factor"	"MAF"
"127"	"DDX6"	"HLR2"	"RCK"	"DEAD-box helicase 6"	"DDX6"
"128"	"TRPM1"	"MLSN1"	"LTRPC1,CSNB1C"	"transient receptor potential cation channel subfamily M member 1"	"TRPM1"
"129"	"CSNK2A1"	""	"CKA1,CKA2"	"casein kinase 2 alpha 1"	"CSNK2A1"
"130"	"CMC4"	"MTCP1,MTCP1NB"	"P8MTCP1,P8"	"C-X9-C motif containing 4"	"CMC4"
"131"	"AKAP13"	"LBC"	"HT31,BRX,AKAP-LBC,C-LBC,PROTO-LB,HA-3,ARHGEF13"	"A-kinase anchoring protein 13"	"AKAP13"
"132"	"ICAM1"	""	"BB2,CD54"	"intercellular adhesion molecule 1"	"ICAM1"
"133"	"TOPORS"	"RP31"	"TP53BPL,LUN"	"TOP1 binding arginine/serine rich protein"	"TOPORS"
"134"	"MAPK1"	"PRKM2,PRKM1"	"ERK,ERK2,P41MAPK,MAPK2"	"mitogen-activated protein kinase 1"	"MAPK1"
"135"	"SHC1"	"SHC"	"P66,SHCA"	"SHC adaptor protein 1"	"SHC1"
"136"	"LIFR"	""	"CD118"	"LIF receptor alpha"	"LIFR"
"137"	"MIR221"	"MIRN221"	"HSA-MIR-221"	"microRNA 221"	"MIR221"
"138"	"CSF3R"	"CD114"	"GCSFR"	"colony stimulating factor 3 receptor"	"CSF3R"
"139"	"UNC79"	"KIAA1409"	""	"unc-79 homolog, NALCN channel complex subunit"	"UNC79"
"140"	"SKP1P2"	"SKP1B"	"P19B"	"S-phase kinase associated protein 1 pseudogene 2"	"SKP1P2"
"141"	"RBBP5"	""	"RBQ3,SWD1"	"RB binding protein 5, histone lysine methyltransferase complex subunit"	"RBBP5"
"142"	"PPP1R13L"	""	"RAI,IASPP"	"protein phosphatase 1 regulatory subunit 13 like"	"PPP1R13L"
"143"	"NRAS"	""	"N-RAS"	"NRAS proto-oncogene, GTPase"	"NRAS"
"144"	"PPP1R16B"	""	"KIAA0823,TIMAP,ANKRD4"	"protein phosphatase 1 regulatory subunit 16B"	"PPP1R16B"
"145"	"FCRL4"	""	"FCRH4,IRTA1,IGFP2,CD307D"	"Fc receptor like 4"	"FCRL4"
"146"	"SKI"	""	""	"SKI proto-oncogene"	"SKI"
"147"	"WDR11"	"BRWD2"	"KIAA1351,FLJ10506,WDR15,HH14,DR11,SRI1"	"WD repeat domain 11"	"WDR11"
"148"	"AGAP2"	"CENTG1"	""	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2"	"AGAP2"
"149"	"TNFRSF13B"	""	"TACI,CD267,IGAD2"	"TNF receptor superfamily member 13B"	"TNFRSF13B"
"150"	"MEG3"	""	"GTL2,NCRNA00023,LINC00023,ONCO-LNCRNA-83"	"maternally expressed 3 (non-protein coding)"	"MEG3"
"151"	"SOX10"	""	"DOM,WS4,WS2E"	"SRY-box 10"	"SOX10"
"152"	"MYBL1"	""	"AMYB,A-MYB"	"MYB proto-oncogene like 1"	"MYBL1"
"153"	"SRSF6"	"SFRS6"	"SRP55,B52"	"serine and arginine rich splicing factor 6"	"SRSF6"
"154"	"MLLT11"	""	"AF1Q"	"MLLT11, transcription factor 7 cofactor"	"MLLT11"
"155"	"DIRAS3"	"ARHI"	"NOEY2"	"DIRAS family GTPase 3"	"DIRAS3"
"156"	"CHD2"	""	"FLJ38614,DKFZP547I1315,DKFZP781D1727,DKFZP686E01200"	"chromodomain helicase DNA binding protein 2"	"CHD2"
"157"	"FOXE1"	"FKHL15,TITF2,FOXE2"	"TTF-2,HFKH4"	"forkhead box E1"	"FOXE1"
"158"	"ABCB8"	""	"EST328128,M-ABC1,MABC1"	"ATP binding cassette subfamily B member 8"	"ABCB8"
"159"	"BCRP2"	"BCR2,BCRL2"	"BCR-2"	"breakpoint cluster region pseudogene 2"	"BCRP2"
"160"	"CIC"	""	"KIAA0306"	"capicua transcriptional repressor"	"CIC"
"161"	"BID"	""	""	"BH3 interacting domain death agonist"	"BID"
"162"	"MAPK14"	"CSPB1,CSBP1,CSBP2"	"PRKM14,P38,MXI2,PRKM15"	"mitogen-activated protein kinase 14"	"MAPK14"
"163"	"FRMD8"	""	"FLJ90369,FKSG44"	"FERM domain containing 8"	"FRMD8"
"164"	"TNFSF10"	""	"TRAIL,APO-2L,TL2,CD253"	"TNF superfamily member 10"	"TNFSF10"
"165"	"BCL10"	""	"CARMEN,CIPER,ME10,C-E10,CLAP"	"B cell CLL/lymphoma 10"	"BCL10"
"166"	"DRAM1"	""	"FLJ11259,DRAM"	"DNA damage regulated autophagy modulator 1"	"DRAM1"
"167"	"PCNA"	""	""	"proliferating cell nuclear antigen"	"PCNA"
"168"	"TRIP11"	""	"CEV14,TRIP230,GMAP-210,GMAP210"	"thyroid hormone receptor interactor 11"	"TRIP11"
"169"	"NFKBIA"	"NFKBI"	"IKBA,MAD-3,IKAPPABALPHA"	"NFKB inhibitor alpha"	"NFKBIA"
"170"	"TOB2"	"TROB2"	"TOBL,TOB4,BK223H9,APRO5"	"transducer of ERBB2, 2"	"TOB2"
"171"	"PTMA"	"TMSA"	""	"prothymosin alpha"	"PTMA"
"172"	"SPPL2B"	""	"IMP4,PSL1,KIAA1532"	"signal peptide peptidase like 2B"	"SPPL2B"
"173"	"CRLF2"	""	"CRL2,TSLPR"	"cytokine receptor like factor 2"	"CRLF2"
"174"	"TRAF1"	""	"EBI6"	"TNF receptor associated factor 1"	"TRAF1"
"175"	"CRK"	""	""	"CRK proto-oncogene, adaptor protein"	"CRK"
"176"	"CCR7"	"CMKBR7,EBI1"	"BLR2,CDW197,CD197"	"C-C motif chemokine receptor 7"	"CCR7"
"177"	"ADAM9"	"CORD9"	"MDC9,KIAA0021,MCMP,MLTNG"	"ADAM metallopeptidase domain 9"	"ADAM9"
"178"	"ID3"	""	"HEIR-1,BHLHB25"	"inhibitor of DNA binding 3, HLH protein"	"ID3"
"179"	"DYRK1A"	"DYRK1,DYRK,MNBH"	""	"dual specificity tyrosine phosphorylation regulated kinase 1A"	"DYRK1A"
"180"	"PDCD6"	""	"ALG-2,PEF1B"	"programmed cell death 6"	"PDCD6"
"181"	"CTNNA1"	""	"CAP102"	"catenin alpha 1"	"CTNNA1"
"182"	"POLH"	""	"RAD30A,XP-V"	"DNA polymerase eta"	"POLH"
"183"	"ERICH1"	""	""	"glutamate rich 1"	"ERICH1"
"184"	"KCNK5"	""	"K2P5.1,TASK-2"	"potassium two pore domain channel subfamily K member 5"	"KCNK5"
"185"	"SKP1"	"SKP1A"	"EMC19,OCP2,TCEB1L,MGC34403,OCP-II,P19A"	"S-phase kinase associated protein 1"	"SKP1"
"186"	"CFLAR"	"CASP8AP1"	"CASH,CASPER,CLARP,FLAME,FLIP,I-FLICE,MRIT,C-FLIP"	"CASP8 and FADD like apoptosis regulator"	"CFLAR"
"187"	"IGK"	"IGK@"	""	"immunoglobulin kappa locus"	NA
"188"	"FGFR1OP"	""	"FOP"	"FGFR1 oncogene partner"	"FGFR1OP"
"189"	"ETV6"	""	"TEL"	"ETS variant 6"	"ETV6"
"190"	"MLLT6"	""	"AF17,FLJ23480"	"MLLT6, PHD finger containing"	"MLLT6"
"191"	"RPA2"	""	""	"replication protein A2"	"RPA2"
"192"	"MST1"	"D3F15S2,HGFL,DNF15S2"	"MSP,NF15S2"	"macrophage stimulating 1"	"MST1"
"193"	"CBFB"	""	"PEBP2B"	"core-binding factor subunit beta"	"CBFB"
"194"	"NMT1"	""	"NMT"	"N-myristoyltransferase 1"	"NMT1"
"195"	"THRAP3"	""	"TRAP150,BCLAF2"	"thyroid hormone receptor associated protein 3"	"THRAP3"
"196"	"MYH1"	""	"MYHSA1,MYHA,MYHC-2X/D,MGC133384"	"myosin heavy chain 1"	"MYH1"
"197"	"STEAP1"	"STEAP"	"PRSS24"	"STEAP family member 1"	"STEAP1"
"198"	"PDE4A"	"DPDE2"	""	"phosphodiesterase 4A"	"PDE4A"
"199"	"HPSE"	""	"HPA,HSE1,HPSE1"	"heparanase"	"HPSE"
"200"	"XDH"	""	"XOR,XO"	"xanthine dehydrogenase"	"XDH"
"201"	"HSPG2"	"SJS1"	"PERLECAN,PRCAN"	"heparan sulfate proteoglycan 2"	"HSPG2"
"202"	"ERCC3"	""	"XPB,BTF2,RAD25,TFIIH,GTF2H"	"ERCC excision repair 3, TFIIH core complex helicase subunit"	"ERCC3"
"203"	"TRAP1"	""	"HSP75,HSP90L"	"TNF receptor associated protein 1"	"TRAP1"
"204"	"PPP1CA"	"PPP1A"	"PP1A,PP-1A,PP1ALPHA"	"protein phosphatase 1 catalytic subunit alpha"	"PPP1CA"
"205"	"PATZ1"	"ZNF278"	"MAZR,DJ400N23,ZBTB19,ZSG,RIAZ,PATZ"	"POZ/BTB and AT hook containing zinc finger 1"	"PATZ1"
"206"	"OPCML"	""	"OPCM,OBCAM,IGLON1"	"opioid binding protein/cell adhesion molecule like"	"OPCML"
"207"	"CDH20"	""	"CDH7L3,CDH7"	"cadherin 20"	"CDH20"
"208"	"NEIL1"	""	"FLJ22402,HFPG1,NEI1,FPG1"	"nei like DNA glycosylase 1"	"NEIL1"
"209"	"FGF12"	"FGF12B"	"FHF1"	"fibroblast growth factor 12"	"FGF12"
"210"	"GHRL"	""	"MTLRP,GHRELIN,OBESTATIN"	"ghrelin and obestatin prepropeptide"	"GHRL"
"211"	"PSEN2"	"AD4"	"AD3L,STM2,PS2"	"presenilin 2"	"PSEN2"
"212"	"ZNF608"	""	"KIAA1281,DKFZP434M098,NY-REN-36"	"zinc finger protein 608"	"ZNF608"
"213"	"BFSP2"	""	"CP47,CP49,LIFL-L,PHAKININ"	"beaded filament structural protein 2"	"BFSP2"
"214"	"DDB2"	""	"DDBB,UV-DDB2,FLJ34321,XPE"	"damage specific DNA binding protein 2"	"DDB2"
"215"	"NET1"	""	"ARHGEF8,NET1A"	"neuroepithelial cell transforming 1"	"NET1"
"216"	"IFNGR2"	"IFNGT1"	"AF-1"	"interferon gamma receptor 2"	"IFNGR2"
"217"	"ERC2"	""	"CAST,CAST1,KIAA0378,SPBC110,SPC110,ELKSL"	"ELKS/RAB6-interacting/CAST family member 2"	"ERC2"
"218"	"COL4A3"	""	""	"collagen type IV alpha 3 chain"	"COL4A3"
"219"	"GSDMA"	"GSDM,GSDM1"	"FLJ39120"	"gasdermin A"	"GSDMA"
"220"	"GHR"	""	"GHBP"	"growth hormone receptor"	"GHR"
"221"	"ETS1"	"EWSR2"	"FLJ10768,ETS-1"	"ETS proto-oncogene 1, transcription factor"	"ETS1"
"222"	"ALOX12"	""	"12S-LOX"	"arachidonate 12-lipoxygenase, 12S type"	"ALOX12"
"223"	"NFATC1"	""	"NF-ATC,NFATC,NFAT2"	"nuclear factor of activated T cells 1"	"NFATC1"
"224"	"IL9"	""	"IL-9,HP40,P40"	"interleukin 9"	"IL9"
"225"	"CSE1L"	""	"CAS,XPO2,CSE1"	"chromosome segregation 1 like"	"CSE1L"
"226"	"PTPRK"	""	"R-PTP-KAPPA"	"protein tyrosine phosphatase, receptor type K"	"PTPRK"
"227"	"EPHA1"	"EPHT,EPHT1"	"EPH"	"EPH receptor A1"	"EPHA1"
"228"	"FIP1L1"	""	"DKFZP586K0717,FIP1"	"factor interacting with PAPOLA and CPSF1"	"FIP1L1"
"229"	"EYA4"	"DFNA10,CMD1J"	""	"EYA transcriptional coactivator and phosphatase 4"	"EYA4"
"230"	"TM4SF1"	"M3S1"	"L6"	"transmembrane 4 L six family member 1"	"TM4SF1"
"231"	"HSPH1"	""	"HSP105B,KIAA0201,HSP105A,NY-CO-25"	"heat shock protein family H (Hsp110) member 1"	"HSPH1"
"232"	"UBE2C"	""	"UBCH10"	"ubiquitin conjugating enzyme E2 C"	"UBE2C"
"233"	"HNRNPA3"	"HNRPA3"	""	"heterogeneous nuclear ribonucleoprotein A3"	"HNRNPA3"
"234"	"TSHR"	""	"LGR3"	"thyroid stimulating hormone receptor"	"TSHR"
"235"	"TJP2"	"DFNA51"	"ZO-2,X104,ZO2"	"tight junction protein 2"	"TJP2"
"236"	"ACTB"	""	""	"actin beta"	"ACTB"
"237"	"IGF2"	"C11ORF43"	"FLJ44734,IGF-II"	"insulin like growth factor 2"	"IGF2"
"238"	"PGGHG"	"ATHL1"	"FLJ22635"	"protein-glucosylgalactosylhydroxylysine glucosidase"	"ATHL1"
"239"	"CMTM7"	"CKLFSF7"	"FLJ30992"	"CKLF like MARVEL transmembrane domain containing 7"	"CMTM7"
"240"	"FAS"	"FAS1,APT1,TNFRSF6"	"CD95,APO-1"	"Fas cell surface death receptor"	"FAS"
"241"	"CHRNB4"	""	""	"cholinergic receptor nicotinic beta 4 subunit"	"CHRNB4"
"242"	"BCL7B"	""	""	"BCL tumor suppressor 7B"	"BCL7B"
"243"	"P2RY14"	"GPR105"	"KIAA0001"	"purinergic receptor P2Y14"	"P2RY14"
"244"	"NR4A3"	""	"CSMF,CHN,NOR1,MINOR"	"nuclear receptor subfamily 4 group A member 3"	"NR4A3"
"245"	"KNL1"	"MCPH4,CASC5"	"D40,AF15Q14,CT29,KIAA1570,HKNL-1,HSPC105,PPP1R55,SPC7"	"kinetochore scaffold 1"	"CASC5"
"246"	"TNF"	"TNFA"	"TNFSF2,DIF,TNF-ALPHA"	"tumor necrosis factor"	"TNF"
"247"	"ABL1"	"ABL"	"JTK7,C-ABL,P150"	"ABL proto-oncogene 1, non-receptor tyrosine kinase"	"ABL1"
"248"	"TBX21"	""	"TBLYM,T-BET"	"T-box 21"	"TBX21"
"249"	"ELAVL1"	"HUR"	"HUR,HUA,MELG"	"ELAV like RNA binding protein 1"	"ELAVL1"
